Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 12/20/2019 6:30:02 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
111058,ANTHRO 3500,Direction of Doctoral,006,Anthropology,"Comaroff,Jean",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,007,Anthropology,"Comaroff,John",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,012,Anthropology,"Good,Byron",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,013,Anthropology,"Harkness,Nicholas H.",0,2,0,0,0,0,0,2
111058,ANTHRO 3500,Direction of Doctoral,015,Anthropology,"Kleinman,Arthur",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,016,Anthropology,"Manuelian,Peter Der",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,017,Anthropology,"Liebmann,Matt",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,019,Anthropology,"Meadow,Richard H.",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,023,Anthropology,"Subramanian,Ajantha",0,1,0,0,0,0,0,1
116522,ANTHRO 3626,Research Design/Proposal Writi,001,Anthropology,"Bernstein,Anya",0,9,0,0,0,0,0,9
123451,ANTHRO 91XR,Supervised Reading & Research,001,Anthropology,"Urton,Gary",1,0,0,0,0,0,0,1
123453,ANTHRO 91ZR,Supervised Reading & Research,001,Anthropology,"Eddy,Zoe Antoinette",8,0,0,0,0,0,0,8
205494,ANTHRO 98A,Junior Tutorial in Anthropolog,001,Anthropology,"Eddy,Zoe Antoinette",19,0,0,0,0,0,0,19
205184,ANTHRO 99A,Thesis Tutorial in Anthropolog,001,Anthropology,"Eddy,Zoe Antoinette",14,0,0,0,0,0,0,14
109898,APCOMP 209A,Data Science 1,001,Applied Computation,"Protopapas,Pavlos",3,82,0,7,0,1,1,94
128101,APCOMP 227,Computational Physics,001,Applied Computation,"Succi,Sauro",0,5,0,1,0,0,0,6
156202,APCOMP 297R,CSE Capstone Project,001,Applied Computation,"Protopapas,Pavlos",2,26,0,1,0,0,0,29
109339,APCOMP 298R,Interdisciplinary Seminar in,001,Applied Computation,"Weinstock,Daniel S",3,26,0,0,1,0,0,30
109613,APCOMP 299R,Special Topics Applied Comp,001,Applied Computation,"Protopapas,Pavlos",0,9,0,0,0,0,0,9
156535,APCOMP 302,Special Topics in CSE,001,Applied Computation,"Weinstock,Daniel S",0,30,0,0,0,0,0,30
210893,APCOMP 399-TIME,Academic Related Work SEAS,001,Applied Computation,"Weinstock,Daniel S",0,16,0,0,0,0,0,16
213407,APMTH 10,Computing for Science Engineer,001,Applied Mathematics,"Kaxiras,Efthimios",13,0,0,0,0,0,0,13
132127,APMTH 101,Stat Inference for Sci and Eng,001,Applied Mathematics,"Howe,Robert D.",33,4,0,0,0,0,0,37
122094,APMTH 104,Series Expansions and Comp Ana,001,Applied Mathematics,"Kaxiras,Efthimios",60,2,0,0,0,0,0,62
135449,APMTH 106,Applied Algebra,001,Applied Mathematics,,0,0,0,0,0,0,0,0
121989,APMTH 108,Nonlinear Dynamical Systems,001,Applied Mathematics,"Iams,Sarah M",26,1,0,1,0,0,0,28
118021,APMTH 115,Mathematical Modeling,001,Applied Mathematics,"Mahadevan,L",7,0,0,0,1,0,0,8
123662,APMTH 121,Optimization: Models and Metho,001,Applied Mathematics,"Chen,Yiling",54,1,0,1,5,0,1,62
112798,APMTH 201,Physical Mathematics I,001,Applied Mathematics,"Brenner,Michael P.",12,29,1,0,0,0,0,42
156203,APMTH 203,Intro is Disordered Systems,001,Applied Mathematics,"Amir,Ariel",3,7,0,0,0,0,0,10
110684,APMTH 205,Advanced Scientific Computing,001,Applied Mathematics,"Rycroft,Christopher",9,45,2,0,0,0,0,56
127561,APMTH 207,Advanced Scientific Computing,001,Applied Mathematics,"Pan,Weiwei",16,50,0,4,0,0,0,70
212912,APMTH 226,Neural Computation,001,Applied Mathematics,"Pehlevan,Cengiz",0,17,1,0,0,0,0,18
207546,APMTH 227,Computational Physics,001,Applied Mathematics,"Succi,Sauro",0,8,0,0,0,0,0,8
211334,APMTH 22A,Solving and Optimizing,001,Applied Mathematics,"Gortler,Steven J.",34,1,0,0,0,0,0,35
116840,APMTH 299R,Special Topics in Applied Math,001,Applied Mathematics,"Chen,Yiling",0,8,0,0,0,0,0,8
116187,APMTH 318,Special Topics in Physical Mat,001,Applied Mathematics,"Brenner,Michael P.",0,2,0,0,0,0,0,2
118975,APMTH 320,Topics in Macroscopic Physics,001,Applied Mathematics,"Mahadevan,L",0,9,0,0,0,0,0,9
159776,APMTH 324,Scientific Computation,001,Applied Mathematics,"Rycroft,Christopher",0,12,0,0,0,0,0,12
212607,APMTH 326,Theoretical Neuroscience,001,Applied Mathematics,"Pehlevan,Cengiz",0,2,0,0,0,0,0,2
121692,APMTH 91R,Supervised Reading and Researc,001,Applied Mathematics,"Levine,Margo S",9,0,0,0,0,0,0,9
115654,APMTH 99R,Thesis Research,001,Applied Mathematics,"Levine,Margo S",15,0,0,0,0,0,0,15
131331,APPHY 195,Intro to Solid State Physics,001,Applied Physics,"Mundy,Julia A.",1,5,0,1,0,0,0,7
213560,APPHY 202,Mechanics in Earth,001,Applied Physics,"Rice,James R.",0,1,0,0,0,0,0,1
141253,APPHY 216,Electromag Interact with Matte,001,Applied Physics,"Ham,Donhee",1,24,0,0,0,0,0,25
208932,APPHY 278,Computational Phys Solids/Fiel,001,Applied Physics,"Narang,Prineha",0,1,0,1,0,0,0,2
142998,APPHY 282,Solids: Structure and Defects,001,Applied Physics,"Spaepen,Frans A.",0,8,0,0,0,0,0,8
131392,APPHY 284,Statistical Mechanics,001,Applied Physics,"Nelson,David R.",0,12,0,0,0,0,0,12
212685,APPHY 286,"Inference, Information Theory",001,Applied Physics,"Ramanathan,Sharad",3,14,1,1,0,0,0,19
143855,APPHY 295A,Quantum Theory of Solids,001,Applied Physics,"Sachdev,Subir",0,15,0,1,0,0,0,16
131373,APPHY 299R,Special Topics Applied Physics,001,Applied Physics,"Capasso,Federico",0,19,0,0,0,0,0,19
123949,APPHY 304,Materials Science of Biologica,001,Applied Physics,"Aizenberg,Joanna",0,7,0,0,0,0,0,7
125476,APPHY 322,Materials Physics and,001,Applied Physics,"Clarke,David",0,3,0,0,0,0,0,3
125472,APPHY 330,Hetero Nano Devices & Bio-temp,001,Applied Physics,"Hu,Evelyn",0,4,0,0,0,0,0,4
131285,APPHY 332,Exp Condensed Matter Physics,001,Applied Physics,"Westervelt,Robert M.",0,1,0,0,0,0,0,1
146784,APPHY 338,Growth & Properties of Nanostr,001,Applied Physics,"Lieber,Charles M.",0,2,0,0,0,0,0,2
122881,APPHY 342,"Nano-Lasers, Single-Photon Sou",001,Applied Physics,"Loncar,Marko",0,13,0,0,0,0,0,13
109412,APPHY 346,Interdisciplinary Dissertation,001,Applied Physics,"Keith,David",0,5,0,0,0,0,0,5
156736,APPHY 350,Exp Physics in Low Dimen Mater,001,Applied Physics,"Kim,Philip",0,5,0,0,0,0,0,5
156741,APPHY 354,Physics of Bacterial Growth,001,Applied Physics,"Amir,Ariel",0,6,0,0,0,0,0,6
116189,APPHY 356,Special Topics Theoretical Eng,001,Applied Physics,"Brenner,Michael P.",0,1,0,0,0,0,0,1
133140,APPHY 360,Nonlinear Laser Phys & Mater E,001,Applied Physics,"Mazur,Eric",0,2,0,0,0,0,0,2
117862,APPHY 362,"Photonics, Quantm Devices & Na",001,Applied Physics,"Capasso,Federico",0,12,0,0,0,0,0,12
112454,APPHY 364,Exp Soft Condensed Matter,001,Applied Physics,"Weitz,David A.",0,22,0,0,0,0,0,22
